player_id,from_club_id,to_club_id
486236,19775,13264
491535,7098,95571
491603,14687,11831
491701,209,330
496062,4561,2578
498266,11648,20590
498687,2352,10870
503348,2063,189
509390,1247,3938
522131,6984,10093
532557,25184,1286
535033,31284,629
535208,17482,18076
537257,25184,14542
538367,928,1030
541914,713,1124
548993,26459,53646
549273,2352,11004
552629,12179,17426
554278,23184,238
562734,27190,7160
565001,32041,14682
565981,928,1444
566410,5619,76
567737,12454,7097
569205,4720,1708
569219,7136,11854
569222,10503,10093
575368,4078,1804
579628,3837,669
581109,76,371
581671,9811,10093
589911,2029,2423
592346,10997,25558
592347,537,330
592427,928,10511
601011,210,1023
603122,2125,199
608216,221,330
608943,2125,6500
610228,14602,14554
612873,14602,14758
613093,14602,1826
613641,2125,776
617687,10997,8718
619303,9636,78435
626179,2729,184
628953,22902,14680
628970,5622,4321
634023,13379,53646
639245,21459,428
639384,14687,2402
643242,6502,38898
646677,2125,3329
647235,623,6711
648076,43146,1532
649330,9961,11854
652968,12454,3938
654766,8816,2462
657220,6600,2410
657457,16779,22220
657746,10010,210
659264,3938,978
661858,6985,5570
662705,2730,2734
662742,4291,210
663186,6984,866
663578,2125,6600
665309,1030,218
668265,6600,10010
668513,11831,1029
668549,288,189
668550,12179,3938
668996,1234,3938
670098,14761,267
671895,14602,830
672202,17776,210
672292,10997,210
678402,51772,9252
685179,4961,14554
687674,38628,11648
688778,31284,2402
689052,12454,2402
690727,1775,830
692612,8590,17428
696729,19775,30038
697045,19775,1829
697943,1186,2698
698551,928,1029
699886,31284,12100
704592,10540,16779
706176,63007,6912
706960,311,7378
715379,28098,49702
717203,4078,660
724220,14687,2417
728602,12179,1444
729356,2063,3938
731722,7097,288
732442,1106,12574
732443,10997,25958
737821,10997,537
737892,12454,37535
740085,17776,10492
740378,17776,22925
740574,7633,1403
741105,12301,6044
745454,7633,2407
746838,6643,798
748601,1418,610
749016,1030,1234
751474,21101,501
757175,1106,189
762387,34828,660
766258,199,1114
787618,1444,46
789856,537,10247
794925,3876,3197
796037,3654,9249
797945,6399,239
802512,1101,122
814273,17276,41231
818499,27861,184
819183,14554,629
825780,2125,33003
827285,10090,22902
829967,2063,1234
829968,1029,10870
831110,49283,12574
831162,1030,430
832340,7633,1804
836253,14602,25184
836493,1775,12574
836518,1106,1082
837974,11855,1444
838405,1106,189
840768,1286,30038
840778,19775,8057
844725,82696,26697
844791,1444,2402
847283,928,26
853278,5662,1234
860998,17584,18820
863140,14554,1444
864120,267,2817
865442,19775,12672
867466,2350,10093
867847,69261,1023
868074,17425,17467
868503,1829,1418
874307,10997,776
885621,12301,2063
886501,5689,623
887801,2125,8793
888545,288,10870
889093,32041,11648
891353,978,703
891681,31284,2417
893664,626,6643
895926,776,2462
900895,19775,12672
905417,928,1214
906636,9811,11854
908102,14687,4673
908300,1775,2734
909314,31284,288
909475,8606,2730
909735,12301,1234
910331,10503,8172
910641,11831,12574
911120,22902,2047
911960,14602,189
912306,12179,6363
912491,3723,100383
912696,31284,1030
916601,1030,1066
923459,2402,12574
926690,136989,18820
926979,8995,1177
927271,16198,16704
928648,40188,1804
929438,11648,1403
935978,17776,25242
938123,8172,45604
941511,830,2417
943969,12301,288
945935,49283,4941
946396,4394,14589
950593,1444,410
961786,928,1444
965323,1234,6368
966314,928,3938
969494,311,22177
970765,2996,6499
971529,12454,7097
972764,9168,2502
974652,978,2407
975134,9811,2352
975689,2063,124
977367,9811,2350
977739,11648,6984
978480,38898,11449
978953,20590,18127
978967,12454,1286
981479,14602,11831
983867,830,3938
984053,1418,40058
984079,14554,1418
984882,31284,928
985351,776,3876
987126,12179,12563
987291,39815,28218
988440,4941,13362
990202,14554,1234
990429,928,19870
991849,928,4557
992869,11648,8172
993645,288,46
1000687,11831,1234
1000691,12179,209
1004336,30925,3301
1006916,3837,23826
